,Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Faecal Streptococci (MPN/ 100 mL),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (mho/ Cm),Class
187,23.5,7.2,7.4,4.7,10350.0,0.0,7650.0,20700.0,1284.0,4
188,25.5,7.3,7.3,4.75,10575.0,0.0,9650.0,21150.0,310.0,2
189,25.0,8.7,7.75,1.9,9025.0,0.295,8600.0,18050.0,273.0,2
190,23.75,8.85,8.25,2.05,625.0,0.45,350.0,1250.0,244.0,1
191,23.75,8.55,8.3,2.65,1425.0,0.4,1350.0,2850.0,261.0,2
192,23.5,7.2,7.6,2.2,15200.0,0.25,9600.0,30400.0,498.0,4
193,19.5,7.35,7.25,2.25,3975.0,0.2,2650.0,7950.0,462.5,3
194,25.5,7.1,7.65,3.8,41700.0,0.3,15000.0,83400.0,278.5,2
195,30.5,6.75,7.6,3.65,27250.0,0.2,14850.0,54500.0,346.0,2
196,26.0,2.8,6.95,7.0,42750.0,0.7,11700.0,85500.0,564.5,4
197,26.0,3.0,7.2,5.0,41575.0,0.6,11350.0,83150.0,251.5,2
198,25.0,2.2,7.2,16.4,42750.0,2.15,27850.0,85500.0,690.5,4
199,25.0,2.55,7.2,16.3,45500.0,2.05,32500.0,91000.0,687.5,4
200,24.5,8.25,8.0,1.6,40350.0,0.55,11550.0,80700.0,236.0,1
201,28.0,8.5,8.15,2.1,24525.0,0.55,28200.0,49050.0,308.0,2
202,24.0,7.95,7.8,1.9,23675.0,0.25,8890.0,47350.0,401.5,3
203,24.5,4.0,7.4,3.7,40825.0,0.35,14225.0,81650.0,374.5,3
204,25.5,4.95,7.4,3.5,13850.0,0.25,7465.0,27700.0,438.5,3
205,27.0,7.0,7.7,2.2,11075.0,0.35,9350.0,22150.0,337.0,2
206,27.5,7.85,7.9,2.0,7275.0,0.35,5680.0,14550.0,322.0,2
207,26.0,6.7,7.8,2.05,10500.0,0.45,11700.0,21000.0,472.5,3
208,26.0,4.65,7.3,5.15,42750.0,0.7,14090.0,85500.0,418.5,3
209,26.5,7.6,7.5,1.2,0.0,0.0,0.0,0.0,0.0,0
210,26.5,9.0,7.7,2.75,3250.0,0.55,3750.0,6500.0,289.5,2
211,28.0,8.3,7.7,2.45,6025.0,0.6,6250.0,12050.0,281.5,2
212,28.0,9.0,7.85,2.45,4600.0,0.5,4460.0,9200.0,423.5,3
213,26.0,7.35,7.7,3.7,41750.0,0.55,11400.0,83500.0,670.5,4
214,26.5,8.6,7.9,2.55,9100.0,0.55,6955.0,18200.0,350.5,2
215,27.25,8.6,7.85,2.35,3425.0,0.55,2650.0,6850.0,353.5,2
216,27.75,9.1,7.9,2.0,9075.0,0.5,6050.0,18150.0,261.0,2
217,27.25,8.6,7.7,2.45,3375.0,0.55,2000.0,6750.0,353.5,2
218,27.5,8.4,7.9,2.55,14175.0,0.55,3500.0,28350.0,372.5,2
219,28.25,8.7,7.85,2.8,3825.0,0.5,2350.0,7650.0,355.5,2
220,27.5,4.1,7.7,3.65,229000.0,0.45,154500.0,458000.0,481.5,4
221,28.5,2.25,7.8,3.8,225750.0,0.55,150550.0,451500.0,477.5,4
222,26.75,8.35,7.95,2.8,3025.0,0.55,3200.0,6050.0,343.0,2
223,27.0,6.95,7.7,3.6,44250.0,0.3,18200.0,88500.0,448.5,3
224,27.0,7.15,7.7,4.2,45250.0,0.3,46200.0,90500.0,546.0,4
225,27.5,6.95,7.7,3.65,226000.0,0.5,251000.0,452000.0,417.0,4
226,28.5,6.4,7.6,2.2,10250.0,1.15,7200.0,20500.0,3413.0,4
227,27.0,6.5,7.4,2.55,11000.0,1.65,9600.0,22000.0,1217.5,4
